country	N	I	O	Y60	Y85	Y_growth	pop_growth	invest	school
Brazil	1	1	0	1842	5563	7.3	2.9	23.2	4.7
Chile	1	1	0	5189	5533	2.6	2.3	29.7	7.7
Colombia	1	1	0	2672	4405	5.0	3.0	18.0	6.1
Ecuador	1	1	0	2198	4504	5.7	2.8	24.4	7.2
Guyana	0	0	0	2761	NA	1.1	NA	32.4	11.7
Paraguay	1	1	0	1951	3914	5.5	2.7	11.7	4.4
Peru	1	1	0	3310	3775	3.5	2.9	12.0	8.0
Surinam	0	0	0	3226	NA	4.5	NA	19.4	8.1
Uruguay	1	1	0	5119	5495	0.9	0.6	11.8	7.0
Venezuela	1	1	0	10367	6336	1.9	3.8	11.4	7.0
Australia	1	1	1	8440	13409	3.8	2.0	31.5	9.8
Fiji	0	0	0	3634	NA	4.2	NA	20.6	8.1
Indonesia	1	1	0	879	2159	5.5	1.9	13.9	4.1
NewZealand	1	1	1	9523	12308	2.7	1.7	22.5	11.9
PapuaNewGuinea	1	0	0	1781	2544	3.5	2.1	16.2	1.5
